task_loss,recourse_flow,predicted_demand,actual_demand,dataset,model
2.2764674488558426e8,0.22764573488558426,99.95728753314154,100.22764573488558,close,io
5.758821232974557e8,0.5758811132974557,99.90323317855385,100.57588111329746,close,io
991.8944124509069,0.0,99.92627588506124,98.18944124509069,close,io
932.7749094534062,0.0,99.96371011016892,92.27749094534062,close,io
3.1562896424456086e9,3.1562886324456088,99.84957562586115,103.15628863244561,close,io
5.002501810073542e8,0.5002491710073542,99.91862644456528,100.50024917100735,close,io
5.105736550515383e9,5.105735540515383,99.78300368517267,105.10573554051538,close,io
5.085803518729898e9,5.085802508729898,99.83705546667096,105.0858025087299,close,io
986.4258036090968,0.0,99.78936188207794,97.64258036090968,close,io
3.7896842790927625e9,3.7896832690927624,99.82130561944092,103.78968326909276,close,io
2.747662014173304e8,0.27476519141733036,99.99484812418224,100.27476519141733,close,io
958.4700971878111,0.0,99.87536088289963,94.84700971878111,close,io
908.6976225565091,0.0,99.95506346520845,89.86976225565091,close,io
962.0010594918114,0.0,99.97419460326499,95.20010594918114,close,io
2.0923534667116942e9,2.0923524567116942,99.86127053680904,102.0923524567117,close,io
2.6724083217164125e9,2.6724073117164124,99.87362072447405,102.67240731171641,close,io
980.6608188743312,0.0,99.87213462710415,97.06608188743311,close,io
1.5051035103601382e9,1.5051025003601382,99.9599503295298,101.50510250036014,close,io
996.45317374495,0.0,99.81374038972446,98.64531737449501,close,io
991.531858359076,0.0,99.9694816629667,98.15318583590759,close,io
968.6272141890514,0.0,99.87004576338877,95.86272141890514,close,io
964.4790778191777,0.0,99.8574876140398,95.44790778191778,close,io
981.9008992396673,0.0,99.87395514850111,97.19008992396672,close,io
993.8730888194958,0.0,99.84224601106551,98.38730888194958,close,io
903.741869904293,0.0,99.87372988155057,89.37418699042931,close,io
6.517523943805708e9,6.517522933805708,99.78121523953328,106.51752293380571,close,io
3.7809595614036145e9,3.7809585514036144,99.91737499520234,103.78095855140361,close,io
939.6436507171671,0.0,99.86787304253019,92.96436507171671,close,io
4.451300240311989e9,4.451299230311989,99.79811677392303,104.45129923031199,close,io
7.765366415861567e8,0.7765356315861567,99.96521551886713,100.77653563158616,close,io
2.1021871636700187e9,2.1021861536700186,99.79278489716835,102.10218615367002,close,io
4.562663647623077e9,4.562662637623077,99.93377854767573,104.56266263762308,close,io
6.614770157289578e9,6.614769147289579,99.98561939598915,106.61476914728958,close,io
957.3233606758344,0.0,99.98299580851437,94.73233606758343,close,io
965.5835841781361,0.0,99.98075577256535,95.55835841781361,close,io
963.5012244819077,0.0,99.8812358546502,95.35012244819077,close,io
1083.6227329028097,0.0,100.0013853483261,97.36227329028098,close,io
2.851547647180405e9,2.8515466371804052,99.81647790062455,102.8515466371804,close,io
4.547626862523069e9,4.547625852523069,99.84650640869735,104.54762585252307,close,io
1.785431635712877e9,1.785430625712877,99.8582782830383,101.78543062571288,close,io
5.06277985028168e9,5.0627788402816805,99.88233807114841,105.06277884028168,close,io
5.804859523548149e8,0.5804849423548148,99.77164957331681,100.58048494235481,close,io
973.2258854579594,0.0,99.93227380535998,96.32258854579594,close,io
948.5408421237838,0.0,99.9406202538226,93.85408421237838,close,io
5.146376103959407e9,5.146375093959406,99.8484199912082,105.1463750939594,close,io
5.09337348570889e9,5.09337247570889,99.96977735212573,105.09337247570889,close,io
4.700581903197127e9,4.700580893197127,99.9165323960294,104.70058089319713,close,io
971.9191090971765,0.0,99.99993296095145,96.19191090971765,close,io
981.187438939006,0.0,99.9657815399995,97.1187438939006,close,io
949.0384236910337,0.0,99.96116092932479,93.90384236910337,close,io
958.0538399546532,0.0,99.94137759469373,94.80538399546532,close,io
1.6680816571999006e9,1.6680806471999006,99.89522014969344,101.6680806471999,close,io
974.3148409636453,0.0,99.98124796948402,96.43148409636453,close,io
969.0328399516283,0.0,99.92261279292859,95.90328399516282,close,io
998.9503851453053,0.0,99.83272029816555,98.89503851453053,close,io
